objectid,assessment_year,formatted_address,community,neighborhood,ward,zoning,landuse,parcel_area_sqft,property_type,totalvalue,multiple_uses,main_pt,buildinguse,yearbuilt,belowgroundarea,abovegroundarea,num_stories,garage_present,primaryheating,constructiontype,exteriortype,roof,total_units,fireplaces,bathrooms,bedrooms
591,2020,"3841 THOMAS AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,4600,RESIDENTIAL,497000,NO,R,SINGLE FAM. DWLG.,1912.0,1014,1399,1.2,0,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,0,1,3
592,2020,"3837 THOMAS AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,4255,RESIDENTIAL,476000,NO,R,SINGLE FAM. DWLG.,1905.0,620,1258,2,2,HOT WATER,WOOD FRAME,OTHER,HIP,1,0,2,4
593,2020,"3835 THOMAS AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,4255,RESIDENTIAL,1144500,NO,R,SINGLE FAM. DWLG.,2013.0,1250,2512,2.5,2,FORCED AIR,WOOD FRAME,STUCCO,GABLE,1,1,4,4
594,2020,"3833 THOMAS AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,8625,RESIDENTIAL,1075500,NO,R,SINGLE FAM. DWLG.,2000.0,1152,2424,2,3,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,1,4,3
595,2020,"3827 THOMAS AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,2875,RESIDENTIAL,229500,NO,R,SINGLE FAM. DWLG.,1905.0,130,520,1,0,FORCED AIR,WOOD FRAME,OTHER,HIP,1,0,1,1
596,2020,"3825 THOMAS AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,2875,RESIDENTIAL,436500,NO,R,SINGLE FAM. DWLG.,1905.0,780,1190,1.2,2,HOT WATER,WOOD FRAME,WOOD,GABLE,1,0,2,2
597,2020,"3824 THOMAS AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,621500,NO,R,SGL. DWLG. W/TUCK UNDER,1910.0,1064,1532,1.2,1,FORCED AIR,WOOD FRAME,STUCCO,HIP,1,0,2,3
598,2020,"3832 THOMAS AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,650000,NO,R,SINGLE FAM. DWLG.,1905.0,624,1362,1.7,2,HOT WATER,WOOD FRAME,WOOD,GABLE,1,1,3,3
599,2020,"3836 THOMAS AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,8625,RESIDENTIAL,456500,NO,R,SINGLE FAM. DWLG.,1905.0,672,1278,1.7,2,HOT WATER,WOOD FRAME,WOOD,GAMBREL,1,1,1,2
600,2020,"3844 THOMAS AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,8625,RESIDENTIAL,742500,NO,R,SINGLE FAM. DWLG.,1906.0,1096,1966,1.7,6,HOT WATER,WOOD FRAME,WOOD,GABLE,1,0,2,3
601,2020,"3845 UPTON AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,7130,RESIDENTIAL,373000,NO,R,SINGLE FAM. DWLG.,1950.0,1032,1032,1,2,GRAVITY,WOOD FRAME,WOOD,GABLE,1,0,2,3
602,2020,"3841 UPTON AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,7130,RESIDENTIAL,1343000,NO,R,CONTEMPORARY,2009.0,1582,2702,2,2,FORCED AIR,REINFORCED CONCRETE,STUCCO,FLAT,1,2,4,4
603,2020,"3837 UPTON AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,2875,RESIDENTIAL,479000,NO,R,SINGLE FAM. DWLG.,1908.0,732,1452,2,2,FORCED AIR,WOOD FRAME,METAL/VINYL,GABLE,1,0,2,3
604,2020,"3833 UPTON AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,460500,NO,R,SINGLE FAM. DWLG.,1916.0,792,1267,1.2,2,FORCED AIR,WOOD FRAME,STUCCO,GABLE,1,1,1,2
605,2020,"3829 UPTON AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,564500,NO,R,SINGLE FAM. DWLG.,1900.0,960,1396,1,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,2,2,4
606,2020,"3825 UPTON AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,8280,RESIDENTIAL,735000,NO,R,SINGLE FAM. DWLG.,1906.0,1400,2002,1,2,FORCED AIR,WOOD FRAME,METAL/VINYL,HIP,1,1,3,4
607,2020,"3824 UPTON AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,8625,RESIDENTIAL,1006500,NO,R,SINGLE FAM. DWLG.,1930.0,1235,2472,2,2,FORCED AIR,WOOD FRAME,STUCCO,GABLE,1,3,4,4
608,2020,"3832 UPTON AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,7475,RESIDENTIAL,839500,NO,R,SGL. DWLG. W/TUCK UNDER,1931.0,1833,2645,2,2,HOT WATER,WOOD FRAME,STUCCO,HIP,1,1,4,6
609,2020,"3836 UPTON AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,6900,RESIDENTIAL,610000,NO,R,SINGLE FAM. DWLG.,1955.0,1098,1644,1.5,2,FORCED AIR,WOOD FRAME,WOOD,HIP,1,2,3,3
610,2020,"3840 UPTON AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,1153000,NO,R,SGL. DWLG. W/TUCK UNDER,2012.0,1145,2614,2,2,FORCED AIR,WOOD FRAME,FIBER CEMENT BOARD,HIP,1,1,4,5
611,2020,"3844 UPTON AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,908500,NO,R,SGL. DWLG. W/TUCK UNDER,1928.0,1269,2738,2,2,HOT WATER,WOOD FRAME,STUCCO,HIP,1,2,4,3
612,2020,"3845 VINCENT AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,8625,RESIDENTIAL,535000,NO,R,SINGLE FAM. DWLG.,1954.0,1380,1270,1,2,FORCED AIR,WOOD FRAME,WOOD,HIP,1,2,2,3
613,2020,"3839 VINCENT AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,8625,RESIDENTIAL,811500,NO,R,SINGLE FAM. DWLG.,1939.0,1110,1940,1.5,1,FORCED AIR,WOOD FRAME,BRICK,GABLE,1,2,3,4
614,2020,"3835 VINCENT AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,598500,NO,R,SINGLE FAM. DWLG.,1951.0,1003,1177,1,1,FORCED AIR,WOOD FRAME,WOOD,HIP,1,1,2,3
615,2020,"3829 VINCENT AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,745000,NO,R,SINGLE FAM. DWLG.,1930.0,932,1772,1.7,3,HOT WATER,WOOD FRAME,STUCCO,HIP,1,1,2,3
616,2020,"3825 VINCENT AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,763500,NO,R,SINGLE FAM. DWLG.,1922.0,1126,2160,1.7,2,FORCED AIR,WOOD FRAME,METAL/VINYL,GABLE,1,2,2,4
617,2020,"3824 VINCENT AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,618000,NO,R,SINGLE FAM. DWLG.,1905.0,781,1457,1.7,1,HOT WATER,WOOD FRAME,WOOD,GAMBREL,1,2,2,3
618,2020,"3828 VINCENT AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,368500,NO,R,SINGLE FAM. DWLG.,2019.0,0,100,2,0,,,,,1,0,0,0
619,2020,"3832 VINCENT AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,704500,NO,R,SINGLE FAM. DWLG.,1905.0,864,1641,1.7,2,FORCED AIR,WOOD FRAME,METAL/VINYL,GAMBREL,1,1,2,3
620,2020,"3836 VINCENT AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,536500,NO,R,SINGLE FAM. DWLG.,1905.0,608,1404,1.7,0,HOT WATER,WOOD FRAME,WOOD,GAMBREL,1,0,2,3
621,2020,"3840 VINCENT AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,870000,NO,R,CONTEMPORARY,2000.0,1534,1552,2,2,FORCED AIR,WOOD FRAME,STUCCO,GABLE,1,1,3,2
622,2020,"3844 VINCENT AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,448500,NO,R,SINGLE FAM. DWLG.,1910.0,580,1080,1.7,1,HOT WATER,WOOD FRAME,METAL/VINYL,GABLE,1,0,2,2
623,2020,"2918 39TH ST W, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,386500,NO,R,SINGLE FAM. DWLG.,1979.0,0,1066,1.5,0,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,0,1,2
624,2020,"3841 WASHBURN AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,449500,NO,R,SINGLE FAM. DWLG.,1953.0,1314,1314,1,2,FORCED AIR,WOOD FRAME,STUCCO,GABLE,1,2,1,3
625,2020,"3825 WASHBURN AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,505000,NO,R,SPLIT LEVEL SNG. DWLG.,1952.0,1176,1176,1,1,FORCED AIR,WOOD FRAME,WOOD,HIP,1,2,2,3
626,2020,"3828 WASHBURN AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,6900,RESIDENTIAL,650000,NO,R,SINGLE FAM. DWLG.,1953.0,1392,1500,1,2,FORCED AIR,WOOD FRAME,BRICK,GABLE,1,2,3,2
627,2020,"3834 WASHBURN AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,8050,RESIDENTIAL,997500,NO,R,SINGLE FAM. DWLG.,1954.0,1580,2480,2,3,FORCED AIR,WOOD FRAME,BRICK,HIP,1,2,3,4
628,2020,"3840 WASHBURN AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,8050,RESIDENTIAL,741500,NO,R,SINGLE FAM. DWLG.,1954.0,1492,1938,1,2,FORCED AIR,WOOD FRAME,BRICK,GABLE,1,2,3,3
629,2020,"3844 WASHBURN AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,482500,NO,R,SINGLE FAM. DWLG.,1954.0,1120,1120,1,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,2,1,4
630,2020,"3845 XERXES AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,11500,RESIDENTIAL,606000,NO,R,SINGLE FAM. DWLG.,1952.0,1344,1536,1,2,FORCED AIR,WOOD FRAME,STUCCO,HIP,1,1,2,3
631,2020,"3837 XERXES AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,10005,RESIDENTIAL,831500,NO,R,SINGLE FAM. DWLG.,1957.0,1350,1812,1,2,FORCED AIR,WOOD FRAME,FIBER CEMENT BOARD,HIP,1,2,3,4
632,2020,"3829 XERXES AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,7130,RESIDENTIAL,661000,NO,R,SPLIT LEVEL SNG. DWLG.,1957.0,1470,1500,1,2,FORCED AIR,WOOD FRAME,WOOD,HIP,1,2,2,4
633,2020,"3825 XERXES AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,814500,NO,R,SINGLE FAM. DWLG.,1953.0,1102,1648,1.2,2,FORCED AIR,WOOD FRAME,STUCCO,GABLE,1,2,3,4
634,2020,"3900 WASHBURN AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,6325,RESIDENTIAL,422500,NO,R,SINGLE FAM. DWLG.,1953.0,1125,1125,1,2,FORCED AIR,WOOD FRAME,WOOD,HIP,1,2,1,3
635,2020,"3904 WASHBURN AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,535500,NO,R,SINGLE FAM. DWLG.,1953.0,1437,1437,1,1,FORCED AIR,WOOD FRAME,METAL/VINYL,HIP,1,1,3,4
636,2020,"3908 WASHBURN AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,531500,NO,R,SINGLE FAM. DWLG.,1953.0,1420,1420,1,2,FORCED AIR,WOOD FRAME,WOOD,HIP,1,2,2,3
637,2020,"3912 WASHBURN AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,412000,NO,R,SINGLE FAM. DWLG.,1950.0,780,1110,1.2,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,0,1,4
638,2020,"3916 WASHBURN AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,742500,NO,R,SINGLE FAM. DWLG.,1950.0,1248,1750,1.5,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,1,3,4
639,2020,"3920 WASHBURN AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,731500,NO,R,CONTEMPORARY,1952.0,899,1673,2,2,FORCED AIR,WOOD FRAME,STUCCO,GABLE,1,1,3,2
640,2020,"3921 XERXES AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,8280,RESIDENTIAL,752000,NO,R,SPLIT LEVEL SNG. DWLG.,1950.0,1614,2178,1.2,2,HOT WATER,WOOD FRAME,STUCCO,HIP,1,2,3,5
641,2020,"3917 XERXES AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,499000,NO,R,SINGLE FAM. DWLG.,1932.0,834,2201,2,2,HOT WATER,WOOD FRAME,STUCCO,HIP,1,2,2,3
642,2020,"3915 XERXES AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,602000,NO,R,SINGLE FAM. DWLG.,1949.0,978,1986,2,2,HOT WATER,WOOD FRAME,STUCCO,GABLE,1,1,4,4
643,2020,"3909 XERXES AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,309000,NO,R,SINGLE FAM. DWLG.,1941.0,608,1108,1.5,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,2,2,2
644,2020,"3901 XERXES AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,MULTI-FAMILY RESIDENTIAL,12161,DOUBLE BUNGALOW,654000,NO,DB,DOUBLE BUNGALOW,1951.0,1648,2198,1,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,2,2,4,6
645,2020,"3900 VINCENT AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,6325,RESIDENTIAL,832000,NO,R,SINGLE FAM. DWLG.,2014.0,986,1774,1.7,2,FORCED AIR,WOOD FRAME,FIBER CEMENT BOARD,GABLE,1,1,4,3
646,2020,"3904 VINCENT AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,1300000,NO,R,SINGLE FAM. DWLG.,2017.0,1298,2845,2,2,FORCED AIR,WOOD FRAME,FIBER CEMENT BOARD,GABLE,1,3,4,5
647,2020,"3910 VINCENT AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,MULTI-FAMILY RESIDENTIAL,11500,DOUBLE BUNGALOW,603500,NO,DB,DOUBLE BUNGALOW,1950.0,1823,1823,1,2,FORCED AIR,WOOD FRAME,STUCCO,HIP,2,2,2,4
648,2020,"3916 VINCENT AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,483500,NO,R,SINGLE FAM. DWLG.,1915.0,732,1428,2,1,HOT WATER,WOOD FRAME,STUCCO,GABLE,1,1,1,3
649,2020,"3920 VINCENT AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,1050000,NO,R,CONTEMPORARY,2013.0,851,2614,1,2,GEOTHERMAL,WOOD FRAME,FIBER CEMENT BOARD,FLAT,1,1,3,3
650,2020,"3921 WASHBURN AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,397500,NO,R,SINGLE FAM. DWLG.,1910.0,864,1414,1.5,1,GRAVITY,WOOD FRAME,WOOD,GABLE,1,0,1,2
651,2020,"3917 WASHBURN AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,1050000,NO,R,SINGLE FAM. DWLG.,2017.0,1000,2440,2,2,FORCED AIR,WOOD FRAME,FIBER CEMENT BOARD,GABLE,1,1,5,5
652,2020,"3915 WASHBURN AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,577500,NO,R,SINGLE FAM. DWLG.,1932.0,893,1597,1.7,1,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,0,2,3
653,2020,"3909 WASHBURN AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,621000,NO,R,SINGLE FAM. DWLG.,1930.0,952,1888,2.2,2,HOT WATER,WOOD FRAME,STUCCO,HIP,1,1,2,3
654,2020,"3905 WASHBURN AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,578000,NO,R,SINGLE FAM. DWLG.,1962.0,988,1664,2,2,FORCED AIR,WOOD FRAME,WOOD,FLAT,1,1,3,3
655,2020,"3901 WASHBURN AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,6325,RESIDENTIAL,534500,NO,R,SINGLE FAM. DWLG.,1953.0,1260,1260,1,2,FORCED AIR,WOOD FRAME,WOOD,HIP,1,2,2,3
656,2020,"3900 THOMAS AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,MULTI-FAMILY RESIDENTIAL,6095,DOUBLE BUNGALOW,729000,NO,DB,DUPLEX,1914.0,1310,2620,2.5,2,HOT WATER,WOOD FRAME,METAL/VINYL,GABLE,2,0,2,4
657,2020,"3910 THOMAS AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,MULTI-FAMILY RESIDENTIAL,5750,DOUBLE BUNGALOW,735500,NO,DB,DOUBLE HOUSE,1917.0,1280,2560,2.5,2,FORCED AIR,WOOD FRAME,STUCCO,GABLE,2,2,3,5
658,2020,"3916 THOMAS AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,498000,NO,R,SINGLE FAM. DWLG.,1959.0,1176,1176,1,2,FORCED AIR,WOOD FRAME,WOOD,HIP,1,1,2,3
659,2020,"3920 THOMAS AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,8625,RESIDENTIAL,1650000,NO,R,SINGLE FAM. DWLG.,2018.0,1500,3561,2,3,FORCED AIR,WOOD FRAME,FIBER CEMENT BOARD,GABLE,1,1,5,3
660,2020,"3921 UPTON AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,646000,NO,R,SGL. DWLG. W/TUCK UNDER,1954.0,672,1951,2,1,FORCED AIR,WOOD FRAME,FIBER CEMENT BOARD,HIP,1,0,4,4
661,2020,"3919 UPTON AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,545500,NO,R,SINGLE FAM. DWLG.,1923.0,1140,2164,2,2,HOT WATER,WOOD FRAME,STUCCO,HIP,1,1,2,3
662,2020,"3915 UPTON AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,520000,NO,R,SINGLE FAM. DWLG.,1921.0,1104,1212,1,1,FORCED AIR,WOOD FRAME,STUCCO,GABLE,1,1,3,4
663,2020,"3911 UPTON AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,877000,NO,R,CONTEMPORARY,1957.0,1064,2128,2,2,FORCED AIR,WOOD FRAME,FIBER CEMENT BOARD,HIP,1,2,4,4
664,2020,"3909 UPTON AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,4140,RESIDENTIAL,583000,NO,R,SGL. DWLG. W/TUCK UNDER,1914.0,662,1958,2.5,1,FORCED AIR,WOOD FRAME,METAL/VINYL,GABLE,1,1,1,3
665,2020,"3901 UPTON AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,6600,RESIDENTIAL,581000,NO,R,SINGLE FAM. DWLG.,1901.0,817,2011,2.5,2,HOT WATER,WOOD FRAME,WOOD,GABLE,1,1,2,3
666,2020,"2711 39TH ST W, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,2480,RESIDENTIAL,192000,NO,R,SINGLE FAM. DWLG.,1910.0,901,1829,2.2,0,HOT WATER,WOOD FRAME,METAL/VINYL,GABLE,1,1,3,3
667,2020,"3919 THOMAS AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,511500,NO,R,SINGLE FAM. DWLG.,1924.0,636,1212,2,2,FORCED AIR,WOOD FRAME,STUCCO,HIP,1,0,1,3
668,2020,"3917 THOMAS AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,454500,NO,R,SINGLE FAM. DWLG.,1921.0,560,1120,2,2,GRAVITY,WOOD FRAME,METAL/VINYL,HIP,1,0,1,2
669,2020,"3915 THOMAS AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,519500,NO,R,SINGLE FAM. DWLG.,1950.0,1040,1308,1.2,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,1,1,3,3
670,2020,"3909 THOMAS AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,4715,RESIDENTIAL,394000,NO,R,SINGLE FAM. DWLG.,1916.0,576,1222,1.7,2,FORCED AIR,WOOD FRAME,STUCCO,GABLE,1,1,1,3
671,2020,"3907 THOMAS AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,MULTI-FAMILY RESIDENTIAL,5060,DOUBLE BUNGALOW,750000,NO,DB,R WITH ACCESSORY DWELLING,1951.0,1402,2100,1.2,2,FORCED AIR,WOOD FRAME,WOOD,GABLE,2,1,4,3
672,2020,"3903 THOMAS AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,4600,RESIDENTIAL,501000,NO,R,SINGLE FAM. DWLG.,1914.0,1068,1689,1.2,2,FORCED AIR,WOOD FRAME,STUCCO,GABLE,1,1,3,2
673,2020,"3901 THOMAS AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,3450,RESIDENTIAL,490000,NO,R,SINGLE FAM. DWLG.,1903.0,372,1314,1.7,2,HOT WATER,WOOD FRAME,WOOD,GAMBREL,1,0,2,3
675,2020,"3927 THOMAS AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,8625,RESIDENTIAL,682500,NO,R,SINGLE FAM. DWLG.,1933.0,840,1680,2,2,HOT WATER,WOOD FRAME,STUCCO,HIP,1,2,2,3
676,2020,"3924 THOMAS AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,400000,NO,R,SINGLE FAM. DWLG.,1967.0,1232,1232,1,1,FORCED AIR,WOOD FRAME,WOOD,HIP,1,1,3,2
677,2020,"3928 THOMAS AVE S, Minneapolis, MN",SOUTHWEST,LINDEN HILLS,13,R1,SINGLE-FAMILY DETACHED DW,5750,RESIDENTIAL,475000,NO,R,SINGLE FAM. DWLG.,1913.0,754,1642,2.2,2,FORCED AIR,WOOD FRAME,STUCCO,GABLE,1,1,2,3
